ucid,oem,model,vid,ic,sid,dvn,pu,pn,km,myear,city,loc,ceid,regplace,owner,cc,bt,insurance,utype,active,did,ip,inp,ft,transmission,reason,p_numeric,pi,vlink,views,ud,it,webp_image,ftc
2895542,BMW,BMW X3 2011-2013,BMW X3 2011-2013 xDrive30d,6,2DC9F0CFB6067551CA6DAEB5E0815773,BMW X3 xDrive30d,39 Lakh,73.69 Lakh,"49,000",2017,Hyderabad,Jubilee Hills,0,Hyderabad (reg),1,2993,SUV,Comprehensive,Dealer,0,190213,0,24,Diesel,Automatic,Not Informed,3900000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2119947_1606888934.jpg,/used-car-details/used-BMW-X3-2011-2013-xDrive30d-cars-Hyderabad_2DC9F0CFB6067551CA6DAEB5E0815773.htm,995,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/used_car_2119947_1606888934.webp,0
2720650,Audi,Audi Q5 2012-2017,Audi Q5 2012-2017 3.0 TDI Quattro Technology,19,F28691A1BA76F0B8B4A644EFEF7841A3,Audi Q5 3.0 TDI Quattro Technology,32 Lakh,,"30,000",2015,Hyderabad,Jubilee Hills,0,Hyderabad (reg),1,2967,SUV,No Insurance,Dealer,0,200995,0,44,Diesel,Automatic,Not Informed,3200000,https://images10.gaadicdn.com/usedcar_image/320x240/usedcar_3_94281593603241_1593603266.jpeg,/used-car-details/used-Audi-Q5-2012-2017-3.0-TDI-Quattro-Technology-cars-Hyderabad_F28691A1BA76F0B8B4A644EFEF7841A3.htm,2423,Aug 10,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/usedcar_3_94281593603241_1593603266.webp,0
2929269,Land Rover,Land Rover Range Rover Evoque 2015-2016,Land Rover Range Rover Evoque 2015-2016 HSE Dynamic,7,3738E16FA2516B98155E9D90EFB4EF8E,Land Rover Range Rover Evoque HSE Dynamic,43 Lakh,72.24-75.79 Lakh,"30,000",2018,Hyderabad,Jubilee Hills,0,Hyderabad (reg),1,2179,SUV,Comprehensive,Dealer,0,190213,0,1,Diesel,Automatic,Not Informed,4300000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2142569_1609144563.jpg,/used-car-details/used-Land-Rover-Range-Rover-Evoque-2015-2016-HSE-Dynamic-cars-Hyderabad_3738E16FA2516B98155E9D90EFB4EF8E.htm,333,Jan 04,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/used_car_2142569_1609144563.webp,0
2941406,Audi,Audi A6 2011-2015,Audi A6 2011-2015 35 TDI Premium,13,226905E360A3AAE6945E592ED2DD2AC9,Audi A6 35 TDI Premium,32 Lakh,,"54,945",2016,Hyderabad,Madhapur,0,Hyderabad (reg),1,1968,Sedans,No Insurance,Dealer,0,199054,0,0,Diesel,Automatic,,3200000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2151154_1610009263.jpg,/used-car-details/used-Audi-A6-2011-2015-35-TDI-Premium-cars-Hyderabad_226905E360A3AAE6945E592ED2DD2AC9.htm,0,Jan 07,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2151154_1610009263.webp,0
2868927,BMW,BMW 5 Series 2013-2017,BMW 5 Series 2013-2017 520d M Sport,14,310A0FBF569A06DA5A68D719F5B56E8A,BMW 5 Series 520d M Sport,33.5 Lakh,72.51-81.40 Lakh,"40,000",2016,Hyderabad,Jubilee Hills,0,Hyderabad (reg),1,1995,Sedans,Comprehensive,Dealer,0,190213,0,0,Diesel,Automatic,,3350000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2105192_1604915818.jpg,/used-car-details/used-BMW-5-Series-2013-2017-520d-M-Sport-cars-Hyderabad_310A0FBF569A06DA5A68D719F5B56E8A.htm,1010,Nov 19,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/used_car_2105192_1604915818.webp,0
2613225,Volvo,Volvo XC 90,Volvo XC90 D5 Momentum BSIV,12,CA7B3D9764AA88B7A445FA1373483D7F,Volvo XC90 D5 Momentum BSIV,47 Lakh,96.23-1.04 Cr,"48,000",2016,Hyderabad,Jubilee Hills,0,Hyderabad (reg),1,1969,luxury,Comprehensive,Dealer,0,200995,0,2,Diesel,Automatic,Not Informed,4700000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_1937251_1580375115.jpg,/used-car-details/used-Volvo-XC90-D5-Momentum-BSIV-cars-Hyderabad_CA7B3D9764AA88B7A445FA1373483D7F.htm,4355,Oct 29,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/used_car_1937251_1580375115.webp,0
2925772,Land Rover,Land Rover Range Rover Evoque 2016-2020,Land Rover Range Rover Evoque 2016-2020 2.0 TD4 SE Dynamic,5,613D1AE6C6E2662A1104C392D0AE5B95,Land Rover Range Rover Evoque 2.0 TD4 SE Dynamic,43.5 Lakh,72.24-75.79 Lakh,"45,000",2017,Hyderabad,Ammerpet,0,Hyderabad (reg),1,1999,SUV,No Insurance,Dealer,0,167560,0,1,Diesel,Automatic,Not Informed,4350000,https://images10.gaadicdn.com/usedcar_image/320x240/usedcar_whatsappimage2020_12_25at12_2021608893704_1608893737.jpeg,/used-car-details/used-Land-Rover-Range-Rover-Evoque-2016-2020-2.0-TD4-SE-Dynamic-cars-Hyderabad_613D1AE6C6E2662A1104C392D0AE5B95.htm,165,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/usedcar_whatsappimage2020_12_25at12_2021608893704_1608893737.webp,0
2941739,Volvo,Volvo XC 90 2007-2015,Volvo XC 90 2007-2015 D5 AWD,12,FB8C17C81151A5D3EBDA000CAB2511A6,Volvo XC 90 D5 AWD,40.5 Lakh,96.23-1.04 Cr,"90,300",2016,Hyderabad,Madhapur,0,Hyderabad (reg),1,2400,SUV,Comprehensive,Dealer,0,199054,0,0,Diesel,Manual,Not Informed,4050000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2151543_1610021670.jpg,/used-car-details/used-Volvo-XC-90-2007-2015-D5-AWD-cars-Hyderabad_FB8C17C81151A5D3EBDA000CAB2511A6.htm,2,Jan 07,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2151543_1610021670.webp,0
2612666,Jaguar,Jaguar XF,Jaguar XF Aero Sport Edition,19,9B1B0CF78C66603319E8A006082980EB,Jaguar XF Aero Sport Edition,35 Lakh,,"20,000",2015,Hyderabad,Jubilee Hills,0,Hyderabad (reg),1,2179,Sedans,Comprehensive,Dealer,0,200995,0,31,Diesel,Automatic,Not Informed,3500000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_1936702_1580306667.jpg,/used-car-details/used-Jaguar-XF-Aero-Sport-Edition-cars-Hyderabad_9B1B0CF78C66603319E8A006082980EB.htm,3345,Oct 29,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/used_car_1936702_1580306667.webp,0
2545275,Porsche,Porsche Panamera 2010-2013,Porsche Panamera 2010-2013 Base,13,44F4A350CCEC0CE6DA4EFE3F5CD2B2E2,Porsche Panamera Base,38 Lakh,1.75Cr-3.02 Cr,"25,000",2010,Hyderabad,Jubilee Hills,0,Hyderabad (reg),1,4806,Sedans,No Insurance,Dealer,0,190213,0,9,Petrol,Automatic,Not Informed,3800000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_1876394_1574682829.jpg,/used-car-details/used-Porsche-Panamera-2010-2013-Base-cars-Hyderabad_44F4A350CCEC0CE6DA4EFE3F5CD2B2E2.htm,2840,Oct 31,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2019/used_car_1876394_1574682829.webp,0
